title,year,organization
An Evaluation of Two Alternatives to Minimax.,2013,University of Maryland
On topological changes in the Delaunay triangulation of moving points.,2013,Tel Aviv University
Proceedings of the Eighth Conference on Uncertainty in Artificial Intelligence (1992).,2013,University of Michigan
Proceedings of the Sixth Conference on Uncertainty in Artificial Intelligence (1990).,2013,University of Maryland
Proceedings of the Fifth Conference on Uncertainty in Artificial Intelligence (1989).,2013,University of Maryland
Proceedings of the Fourth Conference on Uncertainty in Artificial Intelligence (1988).,2013,University of Maryland
Proceedings of the Third Conference on Uncertainty in Artificial Intelligence (1987).,2013,University of Maryland
Proceedings of the Second Conference on Uncertainty in Artificial Intelligence (1986).,2013,University of Maryland
Proceedings of the First Conference on Uncertainty in Artificial Intelligence (1985).,2013,University of Maryland
Dynamic stochastic blockmodels: Statistical models for time-evolving networks.,2013,University of Michigan
Stochastic Memristive Devices for Computing and Neuromorphic Applications.,2013,University of Michigan
L2/L2-foreach sparse recovery with low risk.,2013,University of Michigan
Maximizing Barrier Coverage Lifetime with Mobile Sensors.,2013,Tel Aviv University
A Randomized Asynchronous Linear Solver with Provable Convergence Rate.,2013,Tel Aviv University
Design of Non-Binary Quasi-Cyclic LDPC Codes by ACE Optimization.,2013,Tel Aviv University
Quantum Circuits for GCD Computation with $O(n log n)$ Depth and O(n) Ancillae.,2013,University of Michigan
Improved Approximation Algorithms for (Budgeted) Node-weighted Steiner Problems.,2013,University of Maryland
Ranking and Tradeoffs in Sponsored Search Auctions.,2013,University of Maryland
A Nonmonotone Analysis with the Primal-Dual Approach: online routing of virtual circuits with unknown durations.,2013,Tel Aviv University
Local Correctability of Expander Codes.,2013,University of Michigan
Revealing social networks of spammers through spectral clustering.,2013,University of Michigan
Matrix Compression using the Nystroöm Method.,2013,Tel Aviv University
Video Segmentation via Diffusion Bases.,2013,Tel Aviv University
How Many Queries Will Resolve Common Randomness?,2013,University of Maryland
ResourceSync: Leveraging Sitemaps for Resource Synchronization.,2013,University of Michigan
Abelian Group Codes for Source Coding and Channel Coding.,2013,University of Michigan
New Bounds on the Capacity of Fiber-Optics Communications.,2013,Tel Aviv University
An Improved Three-Weight Message-Passing Algorithm.,2013,University of Michigan
On the Performance Limits of Scalar Coding Over MISO Channels.,2013,Tel Aviv University
Finding a Needle in an Exponential Haystack: Discrete RRT for Exploration of Implicit Roadmaps in Multi-Robot Motion Planning.,2013,Tel Aviv University
Update Efficiency and Local Repairability Limits for Capacity Approaching Codes.,2013,University of Maryland
Online Learning in a Contract Selection Problem.,2013,University of Michigan
Binary Energy Harvesting Channel with Finite Energy Storage.,2013,University of Maryland
Sparse Norm Filtering.,2013,University of Maryland
A Nonlinear Constrained .,2013,University of Michigan
A Nonlinear Constrained .,2013,University of Michigan
Optimal Scheduling for Energy Harvesting Transmitters with Hybrid Energy Storage.,2013,University of Maryland
On Cost-Effective Incentive Mechanisms in Microtask Crowdsourcing.,2013,University of Maryland
Graph cluster randomization: network exposure to multiple universes.,2013,University of Michigan
On The Optimality of Myopic Sensing in Multi-State Channels.,2013,University of Michigan
Subgraph Pattern Matching over Uncertain Graphs with Identity Linkage Uncertainty.,2013,University of Maryland
Structural and Functional Discovery in Dynamic Networks with Non-negative Matrix Factorization.,2013,University of Michigan
Secure Degrees of Freedom of K-User Gaussian Interference Channels: A Unified View.,2013,University of Maryland
"Tycoon: an Implementation of a Distributed, Market-based Resource Allocation System.",2004,University of Michigan
On the asymptotic accuracy of the union bound.,2004,University of Maryland
Source Coding With Encoder Side Information.,2004,Tel Aviv University
Fedora: An Architecture for Complex Objects and their Relationships.,2005,University of Michigan
Stochastic Differential Games in a Non-Markovian Setting.,2005,University of Michigan
Arbitrage in Fractal Modulated Markets When the Volatility is Stochastic.,2005,University of Michigan
Consistency Problems for Jump-Diffusion Models.,2005,University of Michigan
An Information Network Overlay Architecture for the NSDL.,2005,University of Michigan
EPspectra: A Formal Toolkit for Developing DSP Software Applications.,2005,University of Michigan
A Geographic Directed Preferential Internet Topology Model.,2005,Tel Aviv University
"Bidimensionality, Map Graphs, and Grid Minors.",2005,University of Maryland
Multilevel expander codes.,2005,University of Maryland
Conditional Hardness for Approximate Coloring.,2005,Tel Aviv University
Optimum Signal Linear Detector in the Discrete Wavelet Transform-Domain.,2005,University of Maryland
Sub-Optimum Signal Linear Detector Using Wavelets and Support Vector Machines.,2005,University of Maryland
Upgrading Pulse Detection with Time Shift Properties Using Wavelets and Support Vector Machines.,2005,University of Maryland
Wavelet Time Shift Properties Integration with Support Vector Machines.,2005,University of Maryland
Text Compression and Superfast Searching.,2005,University of Maryland
DIMES: Let the Internet Measure Itself.,2005,Tel Aviv University
Tight Bounds on the Redundancy of Huffman Codes.,2005,University of Michigan
"New Upper Bounds on A(n,d).",2005,Tel Aviv University
A Fresh Look at the Reliability of Long-term Digital Storage.,2005,University of Michigan
Projecting the Forward Rate Flow onto a Finite Dimensional Manifold.,2005,University of Michigan
Quickest detection of a minimum of disorder times.,2005,University of Michigan
Capacity of Complexity-Constrained Noise-Free CDMA.,2005,Tel Aviv University
On the Achievable Information Rates of CDMA Downlink with Trivial Receivers.,2005,Tel Aviv University
Capacity-Achieving Codes with Bounded Graphical Complexity on Noisy Channels.,2005,University of Michigan
On the Spread of Random Interleaver.,2005,University of Maryland
Comparing Computational Power.,2005,Tel Aviv University
"Canonical time-frequency, time-scale, and frequency-scale representations of time-varying channels.",2005,University of Maryland
Mismatched codebooks and the role of entropy-coding in lossy data compression.,2005,Tel Aviv University
A Decision Theoretic Framework for Real-Time Communication.,2005,University of Michigan
A Capacity Achieving and Low Complexity Multilevel Coding Scheme for ISI Channels.,2005,University of Maryland
Design and Analysis of Nonbinary LDPC Codes for Arbitrary Discrete-Memoryless Channels.,2005,Tel Aviv University
The Secret Key-Private Key Capacity Region for Three Terminals.,2005,University of Maryland
Secret Key and Private Key Constructions for Simple Multiterminal Source Models.,2005,University of Maryland
The Private Key Capacity Region for Three Terminals.,2005,University of Maryland
Carbon Copying Onto Dirty Paper.,2005,Tel Aviv University
A Single-letter Upper Bound for the Sum Rate of Multiple Access Channels with Correlated Sources.,2005,University of Maryland
A bound on Grassmannian codes.,2005,University of Maryland
Spectral approach to linear programming bounds on codes.,2005,University of Maryland
Mastermind is NP-Complete.,2005,University of Maryland
Fundamental Limits and Scaling Behavior of Cooperative Multicasting in Wireless Networks.,2005,Tel Aviv University
Construction of Turbo Code Interleavers from 3-Regular Hamiltonian Graphs.,2005,University of Maryland
New Intelligent Transmission Concept for Hybrid Mobile Robot Speed Control.,2006,University of Michigan
Energy Efficiency and Delay Quality-of-Service in Wireless Networks.,2006,University of Maryland
Mutual Information Games in Multi-user Channels with Correlated Jamming.,2006,University of Maryland
Power Control for User Cooperation.,2006,University of Maryland
Metadata aggregation and automated digital libraries: A retrospective on the NSDL experience.,2006,University of Michigan
Truly Online Paging with Locality of Reference.,2006,Tel Aviv University
Game theoretic aspects of distributed spectral coordination with application to DSL networks.,2006,Tel Aviv University
Representing Contextualized Information in the NSDL.,2006,University of Michigan
"The Case for Modeling Security, Privacy, Usability and Reliability (SPUR) in Automotive Software.",2006,University of Michigan
Optimal Distortion-Power Tradeoffs in Sensor Networks: Gauss-Markov Random Processes.,2006,University of Maryland
Beyond Hirsch Conjecture: walks on random polytopes and smoothed complexity of the simplex method.,2006,University of Michigan
Universal decoding with an erasure option.,2006,Tel Aviv University
Energy-Efficient Power and Rate Control with QoS Constraints: A Game-Theoretic Approach.,2006,University of Maryland
Bounded expected delay in arithmetic coding.,2006,Tel Aviv University
A Scalable Algorithm for Minimal Unsatisfiable Core Extraction.,2006,Tel Aviv University
Optimal Distortion-Power Tradeoffs in Gaussian Sensor Networks.,2006,University of Maryland
An Outer Bound for the Multi-Terminal Rate-Distortion Region.,2006,University of Maryland
The Size of Optimal Sequence Sets for Synchronous CDMA Systems.,2006,University of Michigan
Coding for Parallel Channels: Gallager Bounds for Binary Linear Codes with Applications to Repeat-Accumulate Codes and Variations.,2006,Tel Aviv University
Iterative Decoding Performance Bounds for LDPC Codes on Noisy Channels.,2006,University of Michigan
Interactive Hatching and Stippling by Example.,2006,University of Michigan
New Model of Internet Topology Using k-shell Decomposition.,2006,Tel Aviv University
List decoding of noisy Reed-Muller-like codes.,2006,University of Michigan
